FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
54089,13813,13184,458,0,43,28,17,83
54091,16889,16441,176,38,10,25,11,188
54093,7109,6999,24,0,5,0,0,81
54095,9188,9094,24,15,2,0,0,53
54097,24210,23619,185,15,83,0,35,273
54099,42273,41662,69,57,105,0,17,363
54101,9158,9061,4,0,15,0,0,78
54103,16526,16320,48,7,61,19,0,71
54105,5769,5585,20,22,0,0,31,111
54107,86835,83725,985,135,442,62,169,1317
54109,23668,23222,244,51,5,42,0,104
55001,20898,19488,665,124,87,21,190,323
55003,16113,13632,59,1637,96,16,60,613
55005,45882,44073,488,375,186,4,212,544
55007,15078,13106,70,1574,65,0,14,249
55009,248526,221071,5176,6127,6858,46,3202,6046
55011,13544,13195,36,71,11,0,142,89
55013,15528,14271,93,775,60,0,48,281
55015,48960,46796,96,192,979,0,175,722
55017,62362,59571,904,250,797,3,93,744
55019,34610,33724,105,189,125,0,205,262
55021,56596,54307,750,277,206,20,379,657
55023,16677,16117,336,48,56,0,39,81
55025,490379,421323,24798,1156,23323,75,6257,13447
55027,88741,83809,2453,300,488,0,579,1112
55029,27872,26827,140,135,130,52,347,241
55031,43963,40981,596,812,440,16,71,1047
55033,43788,41585,222,233,1021,0,67,660
55035,98952,92174,922,402,3281,14,444,1715
55037,4486,4239,0,111,6,0,9,121
55039,101577,95928,1068,415,999,27,1398,1742
55041,9361,7719,79,1246,13,7,33,264
55043,51055,49661,589,81,259,7,60,398
55045,36800,35912,202,77,156,0,126,327
55047,19064,18532,93,39,38,8,178,176
55049,23712,23236,73,19,133,0,33,218
55051,5978,5848,27,33,0,0,1,69
55053,20436,18249,532,1067,97,0,91,400
55055,83751,79958,610,93,597,0,1249,1244
55057,26701,25249,407,395,140,11,132,367
55059,166373,143577,11440,633,2489,89,4529,3616
55061,20600,19998,91,159,28,7,144,173
55063,114718,105570,1912,468,4785,6,406,1571
55065,16836,16547,80,56,16,0,44,93
55067,19951,19126,102,111,84,25,275,228
55069,28710,27862,252,44,176,0,149,227
55071,81266,76812,408,513,1919,0,649,965
55073,134041,123161,693,417,7226,15,518,2011
55075,41704,40481,117,186,171,9,174,566
55077,15366,14929,47,60,55,0,107,168
55078,4274,595,35,3289,146,0,70,139
55079,946584,594961,250473,5512,32264,362,34312,28700
55081,44714,42342,504,522,270,0,448,628
55083,37632,36406,69,465,144,0,208,340
55085,36029,34890,172,487,180,24,22,254
55087,176777,162811,1882,2688,5393,32,1223,2748
55089,86429,82127,1181,261,1521,0,302,1037
55091,7458,7337,34,9,23,0,21,34
55093,40842,39516,234,187,395,16,56,438
55095,44094,42729,146,488,208,0,209,314
55097,70027,66145,214,290,2051,3,458,866
55099,14141,13729,37,70,76,6,14,209
55101,195024,158827,20736,682,2413,62,7199,5105
55103,18020,17502,86,71,59,2,139,161
55105,160356,144904,6268,455,1652,49,2115,4913
55107,14670,14296,91,60,54,6,41,122
55109,84363,80991,660,481,774,9,279,1169
55111,61953,58210,324,881,358,0,1450,730
55113,16580,13131,39,2793,108,6,63,440
55115,41820,37337,163,3147,185,36,231,721
55117,115377,104972,1675,556,5378,27,973,1796
55119,20631,20252,65,64,25,0,45,180
55121,28853,27434,76,47,99,0,945,252
55123,29827,29078,96,40,94,41,196,282
55125,21489,18789,184,1831,84,0,23,578
55127,102310,95486,982,209,737,35,3304,1557
55129,15893,15347,53,227,90,1,33,142
55131,131840,126726,1321,141,1477,6,689,1480
55133,389740,365185,4949,537,10093,61,2593,6322
55135,52377,51003,278,265,248,7,164,412
55137,24565,23301,459,118,123,0,324,240
55139,166984,155527,2894,958,3777,33,1182,2613
55141,74591,71322,359,558,1455,0,286,611
56001,36186,32215,372,241,1056,29,1188,1085
56003,11636,11004,2,264,39,2,127,198
56005,45840,42317,250,665,308,39,1636,625
56007,15781,14335,124,103,176,16,574,453
56009,13779,13103,43,147,57,12,248,169
56011,7036,6967,4,28,6,0,10,21
56013,40103,29748,162,8461,259,8,452,1013
56015,13277,12579,41,89,26,4,320,218
56017,4791,4684,11,36,20,1,4,35
56019,8564,8219,1,3,63,0,118,160
56021,91719,80263,2530,1027,882,23,3956,3038
56023,17960,17412,13,86,65,13,85,286
56025,75876,70831,639,745,579,0,804,2278
56027,2478,2337,21,12,9,0,4,95
56029,28203,27245,87,258,111,13,80,409
56031,8677,8320,1,31,4,0,193,128
56033,29097,27257,100,345,222,33,614,526
56035,10065,9036,1,53,79,4,8,884
56037,43890,40233,194,118,232,7,976,2130
56039,21326,20483,40,85,116,0,231,371
56041,20942,19814,18,46,9,0,125,930
56043,8425,7892,31,66,24,0,210,202
56045,7152,6727,4,42,50,2,136,191
72001,19458,18131,192,5,0,0,1063,67
72003,41876,31339,1771,27,65,0,1400,7274
72005,60714,50798,2024,11,292,0,1353,6236
72007,28573,23614,813,0,1,0,402,3743
72009,25823,20603,1778,18,0,0,3186,238
72011,29236,25700,887,0,15,0,741,1893
72013,96176,82605,3456,217,854,0,6281,2763
72015,19542,10015,4047,0,0,0,1696,3784
72017,24815,23817,332,44,0,0,240,382
72019,30322,11254,751,30,4,0,1168,17115
72021,207337,125458,15179,1132,660,5,17422,47481
72023,50866,48516,1438,0,12,0,465,435
72025,142549,110180,9144,98,207,0,11809,11111
72027,35085,33391,522,0,53,0,491,628
72029,47656,23601,6446,56,337,0,16884,332
72031,176157,113037,29478,1460,1336,0,24047,6799
72033,28049,18651,2408,94,35,0,5385,1476
72035,48008,35980,1810,22,141,0,9531,524
72037,13726,9131,715,0,147,0,3027,706
72039,18712,17578,174,0,2,0,787,171
72041,43414,31560,1166,57,234,0,9717,680
72043,40577,28136,1897,0,0,0,10001,543
72045,20745,13185,528,8,1,0,349,6674
72047,37074,15340,220,8,0,0,404,21102
72049,1535,974,112,0,0,0,256,193
72051,38179,27196,5297,21,47,0,829,4789
72053,36857,21580,3587,98,162,0,10328,1102
72054,12657,12619,17,0,1,0,19,1
72055,19363,17893,629,43,0,0,599,199
72057,45250,28881,5250,297,0,0,6088,4734
72059,21493,19185,855,78,0,0,1160,215
72061,97639,75184,5076,295,135,0,13364,3585
72063,45540,26652,4215,21,110,0,4242,10300
72065,41945,39672,432,0,152,0,749,940
72067,17217,10505,569,0,95,0,616,5432
72069,58333,35505,3644,188,196,0,11041,7759
72071,45567,31015,2854,272,20,0,9783,1623
72073,16600,13242,508,153,72,0,1040,1585
72075,50695,32446,4256,81,200,0,2632,11080
72077,40292,35369,1695,0,0,15,2418,795
72079,25671,24254,662,8,0,0,208,539
72081,30628,28519,185,0,44,0,1514,366
72083,9853,9518,172,25,0,0,106,32
72085,38687,23542,2228,183,114,0,2774,9846
72087,29997,8106,10513,85,130,0,10807,356
72089,20050,10595,1932,63,157,0,6619,684
72091,43974,38524,1495,28,19,0,3402,506
72093,6546,6306,85,0,0,0,140,15
72095,12201,5391,2637,41,0,0,624,3508
72097,88664,52337,3317,47,95,0,17645,15223
72099,40044,37013,652,0,0,24,809,1546
72101,32617,26938,671,0,0,0,607,4401
72103,26761,19432,1294,11,168,0,4572,1284
72105,30385,12438,721,0,13,0,555,16658
72107,23386,17518,622,0,49,0,1707,3490
72109,19225,11339,2606,135,0,0,1967,3178
72111,24193,20805,617,140,1,0,2305,325
72113,165602,117776,8649,139,105,0,14280,24653
72115,25874,19916,934,96,34,0,4366,528
72117,15182,10759,1058,24,0,0,220,3121
72119,54203,28421,7386,83,104,0,16524,1685
72121,25216,23536,565,125,0,0,576,414
72123,31019,17047,1820,16,0,0,7111,5025
72125,35441,33576,795,50,0,0,537,483
72127,393633,250325,69274,1624,4787,0,27566,40057
72129,40979,31358,1818,0,84,0,769,6950
72131,42291,40361,378,15,79,0,995,463
72133,23261,13169,1272,0,0,0,6412,2408
72135,74178,43038,5339,75,36,0,5686,20004
72137,89294,51825,10312,191,544,0,2213,24209
72139,74655,45802,5091,48,98,0,1947,21669
72141,33033,29325,800,12,21,0,2546,329
72143,39913,31604,3231,13,2,0,1113,3950
72145,59444,55297,1807,209,52,0,1365,714
72147,9293,4772,1135,55,18,0,2436,877
72149,25983,18737,508,52,0,0,4354,2332
72151,37823,24513,2490,35,93,0,2842,7850
72153,41876,38518,919,146,62,0,991,1240
