FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
13311,27141,25926,616,115,41,30,177,236
13313,102152,87385,3843,355,881,0,6926,2762
13315,9142,5531,3316,33,83,0,119,60
13317,10398,5468,4462,141,0,6,230,91
13319,9577,5725,3747,9,1,0,59,36
13321,21746,15180,6169,18,73,0,49,257
15001,185399,60661,1258,562,42542,22227,5590,52559
15003,955215,201852,20222,2068,421053,89871,8943,211206
15005,66,38,0,0,7,12,1,8
15007,67113,22252,340,196,23690,6536,372,13727
15009,154937,54276,579,253,40453,15227,1338,42811
16001,394961,363070,4057,2117,10244,704,4715,10054
16003,3976,3780,0,81,4,11,2,98
16005,82584,74742,587,2845,1025,220,1035,2130
16007,5977,5829,22,19,0,11,42,54
16009,9247,7972,148,773,10,26,28,290
